order_id,product_id,quantity,unit_price,discount
ord-0036,P012,-1,100,0.1
ord-0028,P001,-1,10,0.1
ORD-0031,P002,1,25,0.2
 ORD21,P010,2,10,0
ord-0040,P012,-1,100,1.2
 ORD13,P005,2,25,0.2
ord-0008,P015,0,10,0.2
 ORD9,P014,2,-5,
 ORD7,P013,3,100,0.2
 ORD10,P012,3,-5,0.1
ord-0004,P001,3,10,1.2
ord-0004,P009,2,25,0.1
 ORD24,P009,0,-5,0.2
ord-0030,P003,1,25,1.2
ord-0001,P014,3,-5,0
 ORD21,P010,1,10,
 ORD13,P002,1,25,0.1
 ORD20,P004,1,-5,0
ord-0017,P010,1,100,
ord-0030,P006,2,-5,
ord-0036,P009,1,25,
ord-0037,P001,0,10,0.1
ORD-0031,P012,-1,-5,0.1
 ORD24,P012,1,10,1.2
ord-0017,P011,-1,10,
 ORD2,P002,-1,10,0.1
 ORD7,P009,0,10,1.2
ord-0011,P013,0,10,0.1
 ORD24,P015,-1,25,1.2
ORD-0035,P012,2,100,0.1
 ORD24,P005,-1,-5,0
ord-0016,P008,2,-5,
ord-0028,P009,0,-5,0
ord-0040,P011,-1,10,0.1
ord-0029,P003,0,100,0
ord-0040,P002,-1,10,1.2
ord-0039,P002,0,25,0.2
ORD-0031,P012,2,25,
ord-0029,P009,0,100,1.2
ORD-0031,P005,3,100,
ORD-0026,P010,2,-5,1.2
 ORD6,P001,0,-5,
 ORD27,P004,3,100,0
 ORD9,P008,3,25,
ord-0016,P001,2,100,
ORD-0026,P010,0,100,0.2
ord-0016,P012,0,10,
ord-0039,P001,0,25,
ord-0016,P001,2,25,0.2
ord-0038,P009,3,25,1.2
 ORD10,P009,0,10,0.2
ord-0004,P010,3,-5,0.2
ord-0004,P008,0,10,0.2
ord-0015,P010,2,100,1.2
 ORD27,P009,2,25,1.2
 ORD21,P011,-1,10,0
ORD-0023,P015,-1,10,1.2
 ORD24,P002,2,-5,0.2
ord-0037,P004,3,10,0.2
 ORD20,P015,2,100,0.2
ord-0016,P004,0,-5,0.2
ord-0016,P004,1,10,1.2
ORD-0026,P006,0,25,0.2
 ORD25,P010,3,25,0
 ORD7,P011,-1,25,1.2
ord-0008,P008,2,10,0
ORD-0032,P006,2,100,0.1
ord-0028,P004,-1,10,0.1
 ORD2,P003,2,-5,1.2
 ORD19,P008,2,-5,
ORD-0026,P007,0,100,1.2
ord-0014,P012,0,-5,1.2
 ORD33,P010,-1,10,0
 ORD7,P013,2,25,0.1
ord-0014,P005,0,100,1.2
 ORD25,P011,2,25,0.1
ORD-0032,P014,0,25,
ord-0016,P004,3,10,0.2
ord-0036,P006,0,-5,
ORD-0026,P005,3,25,1.2
