order_id,customer_id,order_date,status,payment_method,total_amount,currency
ord-0001,C999,2026-03-01,completed,CARD,100.5,MAD
 ORD2,c004,2026-03-01,paid,WIRE,-20,
 ORD3,cust-26,01/03/2026,PAID,PAYPAL,100.5,
ord-0004,c004,2026/03/01,annulée,WIRE,100.5,EUR
ORD-0005, C002,2026-03-01,PAID,CARD,-20,USD
 ORD6,cust-26,2026/03/01,cancelled,CARD,-20,EUR
 ORD7, C002,2026/03/01,annulée,PAYPAL,55.9,USD
ord-0008, C019,bad-date,annulée,CARD,-20,
 ORD9,c022,bad-date,annulée,WIRE,-20,EUR
 ORD10,C016,bad-date,PAID,WIRE,100.5,MAD
ord-0011, C007,2026-03-01,paid,PAYPAL,100.5,EUR
 ORD12,c001,bad-date,cancelled,PAYPAL,100.5,MAD
 ORD13,c022,2026/03/01,cancelled,WIRE,100.5,MAD
ord-0014,C009,2026/03/01,completed,CARD,100.5,EUR
ord-0015,cust-27,2026-03-01,cancelled,PAYPAL,55.9,EUR
ord-0016,c023,2026/03/01,PAID,CARD,100.5,
ord-0017,C003,2026/03/01,annulée,WIRE,-20,EUR
ORD-0018, C012,bad-date,Payée,WIRE,-20,USD
 ORD19,C009,2026/03/01,Payée,PAYPAL,-20,
 ORD20,C016,2026/03/01,PAID,WIRE,100.5,EUR
 ORD21, C019,2026-03-01,annulée,CARD,55.9,
ord-0022, C002,bad-date,completed,CARD,-20,
ORD-0023,C005,2026/03/01,annulée,CARD,-20,USD
 ORD24, C019,2026/03/01,Payée,PAYPAL,55.9,MAD
 ORD25,c013,2026/03/01,cancelled,PAYPAL,-20,USD
ORD-0026, C007,01/03/2026,paid,PAYPAL,100.5,EUR
 ORD27,c022,2026/03/01,completed,WIRE,100.5,
ord-0028,C015,2026-03-01,paid,PAYPAL,55.9,EUR
ord-0029,C010,2026-03-01,cancelled,WIRE,100.5,EUR
ord-0030,c028,01/03/2026,annulée,PAYPAL,55.9,
ORD-0031,cust-29,2026-03-01,PAID,CARD,-20,MAD
ORD-0032,C015,2026-03-01,PAID,CARD,-20,
 ORD33,c028,2026/03/01,PAID,WIRE,-20,
ord-0034, C007,01/03/2026,completed,CARD,100.5,
ORD-0035,c001,01/03/2026,paid,CARD,55.9,
ord-0036,C010,01/03/2026,PAID,PAYPAL,100.5,MAD
ord-0037,C005,2026/03/01,paid,CARD,-20,USD
ord-0038,C011,2026/03/01,cancelled,PAYPAL,55.9,MAD
ord-0039,C003,bad-date,Payée,PAYPAL,55.9,MAD
ord-0040,C011,01/03/2026,Payée,CARD,-20,EUR
